date,open,high,low,close,volume,MA20,MA60,MA200,RSI,MACD,SIGNAL,HIST,BB_UPPER,BB_LOWER,VOL_MA20
2024-09-13 00:00:00+00:00,0.3794,1.0,0.378,0.4108,119140682.9,,,,,0.0,0.0,0.0,,,
2024-09-14 00:00:00+00:00,0.4108,0.424,0.398,0.4058,57337773.0,,,,0.0,-0.00039886039886033453,-7.977207977206692e-05,-0.0003190883190882676,,,
2024-09-15 00:00:00+00:00,0.4058,0.4083,0.3866,0.3887,46899265.9,,,,0.0,-0.0020709150088066286,-0.00047800066557897926,-0.0015929143432276494,,,
2024-09-16 00:00:00+00:00,0.3888,0.3925,0.3723,0.3759,50492523.2,,,,0.0,-0.004378411754390743,-0.0012580828833413321,-0.003120328871049411,,,
2024-09-17 00:00:00+00:00,0.3759,0.3907,0.3738,0.3816,42013067.4,,,,6.449713365316313,-0.005681682290054779,-0.002142802764684022,-0.0035388795253707573,,,
2024-09-18 00:00:00+00:00,0.3816,0.3902,0.3722,0.3902,36262880.5,,,,15.323548268453493,-0.005951974791899184,-0.0029046371701270546,-0.0030473376217721292,,,
2024-09-19 00:00:00+00:00,0.3901,0.4021,0.3887,0.3991,47960327.1,,,,23.419377738374877,-0.005385942139020605,-0.003400898163905765,-0.00198504397511484,,,
2024-09-20 00:00:00+00:00,0.3991,0.4099,0.3932,0.4014,44330075.6,,,,25.404262178124455,-0.00469761522136336,-0.0036602415753972843,-0.001037373645966076,,,
2024-09-21 00:00:00+00:00,0.4014,0.4117,0.396,0.4115,24164019.0,,,,33.549316911785056,-0.003299095667969709,-0.0035880123939117693,0.0002889167259420601,,,
2024-09-22 00:00:00+00:00,0.4115,0.4115,0.3926,0.401,32422905.4,,,,29.89481291098633,-0.0030033997709464355,-0.003471089869318703,0.00046769009837226757,,,
2024-09-23 00:00:00+00:00,0.401,0.4081,0.3941,0.4059,57233691.2,,,,33.53345491612224,-0.002346619227455937,-0.0032461957409461503,0.000899576513490213,,,
2024-09-24 00:00:00+00:00,0.4059,0.4098,0.399,0.4092,64904002.3,,,,35.944729074107045,-0.0015420576138670539,-0.002905368115530331,0.0013633105016632773,,,
2024-09-25 00:00:00+00:00,0.4092,0.419,0.404,0.4095,51785161.0,,,,36.17142859870834,-0.0008701981432333583,-0.0024983341210709368,0.0016281359778375784,,,
2024-09-26 00:00:00+00:00,0.4095,0.4323,0.4028,0.4257,65484907.0,,,,47.0659738639861,0.000958411962171779,-0.001806984904422394,0.002765396866594173,,,
2024-09-27 00:00:00+00:00,0.4256,0.4383,0.4235,0.4336,68275519.1,,,,51.42052652473602,0.0030103610537322023,-0.0008435157127914748,0.003853876766523677,,,
2024-09-28 00:00:00+00:00,0.4335,0.4375,0.4174,0.424,37578633.1,,,,46.42283856264801,0.0038178954012086375,8.876651000854765e-05,0.00372912889120009,,,
2024-09-29 00:00:00+00:00,0.424,0.426,0.4135,0.4212,29921318.4,,,,45.047607019957034,0.004183708403918518,0.0009077548887905417,0.003275953515127976,,,
