date,open,high,low,close,volume,MA20,MA60,MA200,RSI,MACD,SIGNAL,HIST,BB_UPPER,BB_LOWER,VOL_MA20
2021-07-03 00:00:00+00:00,34.001,35.406,33.217,34.498,3063406.141,,,,,0.0,0.0,0.0,,,
2021-07-04 00:00:00+00:00,34.497,35.531,33.533,34.28,2972213.418,,,,0.0,-0.01739031339031527,-0.003478062678063054,-0.013912250712252217,,,
2021-07-05 00:00:00+00:00,34.278,34.49,32.37,32.908,3008984.082,,,,0.0,-0.14026431603639367,-0.030835313349729176,-0.10942900268666449,,,
2021-07-06 00:00:00+00:00,32.908,35.041,32.883,34.226,3289698.061,,,,25.231779023656685,-0.12979506664473206,-0.05062726400872976,-0.0791678026360023,,,
2021-07-07 00:00:00+00:00,34.221,38.1,33.82,36.673,4609258.553,,,,50.30322267605051,0.07508876198571102,-0.025484058809841607,0.10057282079555263,,,
2021-07-08 00:00:00+00:00,36.667,36.934,32.654,33.142,4495022.54,,,,33.07056290724579,-0.04692064591905165,-0.02977137623168362,-0.017149269687368032,,,
2021-07-09 00:00:00+00:00,33.134,34.46,31.976,33.315,2810263.602,,,,34.258864756391176,-0.12817678435247615,-0.049452457855842125,-0.07872432649663402,,,
2021-07-10 00:00:00+00:00,33.315,34.215,31.025,31.693,2838074.586,,,,29.05099573369202,-0.3197686103689463,-0.10351568835846298,-0.21625292201048335,,,
2021-07-11 00:00:00+00:00,31.716,32.568,31.3,32.182,1944815.804,,,,32.387976562783805,-0.42722353262836066,-0.16825725721244253,-0.2589662754159181,,,
2021-07-12 00:00:00+00:00,32.173,32.696,30.011,30.77,2251239.269,,,,28.255412623631827,-0.6191813944255884,-0.25844208465507174,-0.36073930977051666,,,
2021-07-13 00:00:00+00:00,30.77,31.096,28.81,29.136,1837132.436,,,,24.378817535812843,-0.892867110712011,-0.3853270898664596,-0.5075400208455514,,,
2021-07-14 00:00:00+00:00,29.154,31.5,27.363,31.365,3434185.178,,,,37.063851851176686,-0.9193061521248822,-0.49212290231814415,-0.42718324980673805,,,
2021-07-15 00:00:00+00:00,31.365,31.485,27.975,28.545,3643011.529,,,,30.168898147653508,-1.1545013423814048,-0.6245985903307963,-0.5299027520506084,,,
2021-07-16 00:00:00+00:00,28.562,29.478,26.196,26.271,2923575.792,,,,25.97296659087121,-1.507016077284593,-0.8010820877215556,-0.7059339895630374,,,
2021-07-17 00:00:00+00:00,26.269,27.836,25.979,26.802,2122389.101,,,,28.474568375156394,-1.7236698886499475,-0.9855996479072342,-0.7380702407427133,,,
2021-07-18 00:00:00+00:00,26.789,27.756,26.233,26.673,1727601.788,,,,28.225027280810636,-1.884060539849017,-1.165291826295591,-0.718768713553426,,,
2021-07-19 00:00:00+00:00,26.679,26.71,23.975,24.509,3131177.977,,,,24.367199975676186,-2.1608787362032764,-1.3644092082771282,-0.7964695279261482,,,
2021-07-20 00:00:00+00:00,24.524,24.982,22.1,23.474,3555428.542,,,,22.76456179913471,-2.4356977933332224,-1.5786669252883472,-0.8570308680448753,,,
2021-07-21 00:00:00+00:00,23.484,27.461,22.8,26.7,4561993.007,,,,36.732155450226266,-2.365909900277387,-1.7361155202861553,-0.6297943799912318,,,
