date,open,high,low,close,volume,MA20,MA60,MA200,RSI,MACD,SIGNAL,HIST,BB_UPPER,BB_LOWER,VOL_MA20
2021-07-03 00:00:00+00:00,0.6557,0.6849,0.6433,0.6732,329367273.74,,,,,0.0,0.0,0.0,,,
2021-07-04 00:00:00+00:00,0.6733,0.7091,0.6655,0.696,334071078.78,,,,100.0,0.0018188034188033608,0.0003637606837606722,0.0014550427350426887,,,
2021-07-05 00:00:00+00:00,0.696,0.697,0.6444,0.6526,407839477.88,,,,87.22778104767507,-0.00023904351425718673,0.00024319984415710038,-0.0004822433584142871,,,
2021-07-06 00:00:00+00:00,0.6526,0.68,0.6511,0.6648,356111895.89,,,,87.7032387428621,-0.0008753732365781586,1.948522801004858e-05,-0.0008948584645882072,,,
2021-07-07 00:00:00+00:00,0.6648,0.674,0.65,0.6522,284356433.42,,,,84.21635579768238,-0.00236907460607072,-0.0004582267388061052,-0.001910847867264615,,,
2021-07-08 00:00:00+00:00,0.6521,0.6545,0.6108,0.6215,430925669.18,,,,76.26071571067898,-0.0059613583046068674,-0.0015588530519662577,-0.00440250525264061,,,
2021-07-09 00:00:00+00:00,0.6214,0.6457,0.5917,0.6369,358836803.69,,,,77.41336514719431,-0.007479399854119717,-0.0027429624123969498,-0.004736437441722767,,,
2021-07-10 00:00:00+00:00,0.6369,0.6489,0.612,0.6246,279711260.06,,,,74.30991029415688,-0.009564709901696888,-0.004107311910256938,-0.00545739799143995,,,
2021-07-11 00:00:00+00:00,0.6246,0.6449,0.6169,0.6364,201320995.42,,,,75.3316294323048,-0.010148189740662339,-0.005315487476338018,-0.004832702264324321,,,
2021-07-12 00:00:00+00:00,0.6363,0.6575,0.6172,0.6288,356848391.96,,,,73.30934827839485,-0.011095950984972736,-0.006471580178064961,-0.004624370806907774,,,
2021-07-13 00:00:00+00:00,0.6288,0.6426,0.6086,0.6192,315648113.8,,,,70.72655870354856,-0.012477861350344233,-0.007672836412520817,-0.004805024937823416,,,
2021-07-14 00:00:00+00:00,0.6193,0.625,0.5851,0.6197,352306488.76,,,,70.78429242197424,-0.01337847076651455,-0.008813963283319563,-0.004564507483194986,,,
2021-07-15 00:00:00+00:00,0.6196,0.6269,0.5874,0.5979,339655984.05,,,,64.78498287371202,-0.0156706465681693,-0.010185299940289511,-0.005485346627879788,,,
2021-07-16 00:00:00+00:00,0.5979,0.6211,0.5874,0.5893,282511701.89,,,,62.53332432127193,-0.017973967819401193,-0.011743033516111848,-0.0062309343032893455,,,
2021-07-17 00:00:00+00:00,0.5893,0.5977,0.56,0.5821,263418042.14,,,,60.633304414833155,-0.020148091673564017,-0.013424045147602284,-0.006724046525961733,,,
2021-07-18 00:00:00+00:00,0.5822,0.6016,0.571,0.5866,241849135.65,,,,61.42225209911227,-0.021262882822283502,-0.01499181268253853,-0.006271070139744973,,,
2021-07-19 00:00:00+00:00,0.5867,0.5889,0.5533,0.557,294780945.07,,,,53.78642934597512,-0.024255236197236907,-0.016844497385478205,-0.007410738811758702,,,
2021-07-20 00:00:00+00:00,0.557,0.5699,0.5157,0.5284,393704657.61,,,,47.62572072190156,-0.02860474113547995,-0.019196546135478554,-0.009408195000001396,,,
2021-07-21 00:00:00+00:00,0.5284,0.584,0.5193,0.5719,493423679.61,,,,55.89958733647687,-0.028216407498656282,-0.0210005184081141,-0.007215889090542181,,,
2021-07-22 00:00:00+00:00,0.5718,0.6033,0.5609,0.592,409238764.36,0.616555,,,59.11369076712577,-0.025987184193467905,-0.021997851565184863,-0.003989332628283042,0.6972664731621224,0.5358435268378775,336296339.648
2021-07-23 00:00:00+00:00,0.592,0.6101,0.5753,0.6091,359561806.43,0.61335,,,61.67291158544952,-0.022580388906571436,-0.022114359033462178,-0.00046602987310925825,0.6897871506533308,0.536912849346669,337806066.2825
2021-07-24 00:00:00+00:00,0.6092,0.6205,0.5996,0.6085,319684922.3,0.608975,,,61.52738640664114,-0.019701784178586146,-0.021631844062486975,0.0019300598839008289,0.6753419759745012,0.5426080240254989,337086758.4585
