date,open,high,low,close,volume
2024-07-02 02:00:00+00:00,3448.6,3456.6,3445.98,3450.84,3551.5341
2024-07-02 03:00:00+00:00,3450.84,3464.12,3450.41,3457.03,4800.6248
2024-07-02 04:00:00+00:00,3457.03,3463.95,3453.04,3454.22,5515.3904
2024-07-02 05:00:00+00:00,3454.21,3460.94,3454.21,3458.61,3217.6745
2024-07-02 06:00:00+00:00,3458.62,3459.01,3447.0,3448.72,5077.5919
2024-07-02 07:00:00+00:00,3448.72,3448.72,3434.17,3439.0,9038.8152
2024-07-02 08:00:00+00:00,3439.01,3447.0,3431.6,3441.71,7711.4884
2024-07-02 09:00:00+00:00,3441.7,3451.79,3440.69,3446.2,3975.2557
2024-07-02 10:00:00+00:00,3446.21,3454.0,3441.81,3451.9,5319.0755
2024-07-02 11:00:00+00:00,3451.9,3454.73,3447.2,3453.26,2835.1644
2024-07-02 12:00:00+00:00,3453.26,3459.51,3447.4,3451.28,4517.7231
2024-07-02 13:00:00+00:00,3451.29,3462.5,3431.18,3438.39,11750.6852
2024-07-02 14:00:00+00:00,3438.38,3442.4,3402.0,3410.76,22775.8092
2024-07-02 15:00:00+00:00,3410.6,3420.0,3407.05,3415.65,5917.0589
2024-07-02 16:00:00+00:00,3415.66,3417.88,3408.89,3415.72,6235.4693
2024-07-02 17:00:00+00:00,3415.72,3424.55,3413.68,3424.54,3654.3627
2024-07-02 18:00:00+00:00,3424.55,3433.65,3424.54,3430.0,3944.7524
2024-07-02 19:00:00+00:00,3430.01,3432.16,3412.41,3415.37,4346.3504
2024-07-02 20:00:00+00:00,3415.38,3422.75,3413.39,3420.8,2582.0663
2024-07-02 21:00:00+00:00,3420.8,3428.58,3418.0,3420.9,4400.9386
2024-07-02 22:00:00+00:00,3420.9,3425.95,3418.44,3424.69,5029.1383
2024-07-02 23:00:00+00:00,3424.69,3428.5,3421.23,3421.35,3040.9522
2024-07-03 00:00:00+00:00,3421.35,3432.1,3421.0,3424.43,4289.5041
2024-07-03 01:00:00+00:00,3424.42,3425.94,3380.13,3393.99,16144.801
2024-07-03 02:00:00+00:00,3394.15,3395.08,3371.7,3382.28,12220.7231
2024-07-03 03:00:00+00:00,3382.28,3382.87,3331.23,3360.33,23821.7743
2024-07-03 04:00:00+00:00,3360.34,3362.92,3352.96,3361.24,5159.0568
2024-07-03 05:00:00+00:00,3361.24,3368.65,3359.08,3368.65,4191.15
2024-07-03 06:00:00+00:00,3368.65,3373.2,3366.32,3371.4,5359.0206
2024-07-03 07:00:00+00:00,3371.4,3371.41,3352.2,3352.2,5817.7466
